"id","name","price","city","marka","model","color","memory","simkart"
"20","Samsung Galaxy A3 (2016) Gold 16GB/1.5GB","100","Gəncə","Samsung","Galaxy A3 (2016)","Gold","16GB/1.5GB","Dual SIM"
"21","Xiaomi Redmi Note 9 Midnight Gray 64GB/4GB","300","Gəncə","Xiaomi","Redmi Note 9","Midnight Gray","64GB/4GB","null"
"22","Apple iPhone XR Black 64GB/3GB","680","Gəncə","Apple iPhone","XR","Black","64GB/3GB","Dual SIM"
"23","Apple iPhone 6 Gold 32GB","250","Gəncə","Apple iPhone","6","Gold","32GB","null"
"24","Samsung Galaxy Z Flip Mirror Black 256GB/8GB","1 200","Gəncə","Samsung","Galaxy Z Flip","Mirror Black","256GB/8GB","null"
"25","Samsung Galaxy S21 5G Phantom Gray 128GB/8GB","1 100","Gəncə","Samsung","Galaxy S21 5G","Phantom Gray","128GB/8GB","null"
"26","Qulaqlıq ""Apple iPhone""","20","Gəncə","Aksesuarlar","Bəli","null","null","null"
"27","Xiaomi Redmi Note 8T Starscape Blue 32GB/3GB","220","Gəncə","Xiaomi","Redmi Note 8T","Starscape Blue","32GB/3GB","null"
"28","AirPods","30","Gəncə","Aksesuarlar","Bəli","Bəli","null","null"
"29","Telefon ""Vertex""","70","Gəncə","Digər","null","null","null","null"
"30","Apple iPhone 11 Black 64GB/4GB","930","Gəncə","Apple iPhone","11","Black","64GB/4GB","null"
"31","Samsung Galaxy Note 20 5G Mystic Bronze 256GB/8GB","1 150","Gəncə","Samsung","Galaxy Note 20 5G","Mystic Bronze","256GB/8GB","Dual SIM"
"32","Apple iPhone 7 Plus Gold 32GB","270","Gəncə","Apple iPhone","7 Plus","Gold","32GB","Bəli"
"33","Apple iPhone 11 Pro Gold 64GB/4GB","1 350","Gəncə","Apple iPhone","11 Pro","Gold","64GB/4GB","Dual SIM"
"34","Apple iPhone 8 Plus Space Gray 64GB","340","Gəncə","Apple iPhone","8 Plus","Space Gray","64GB","null"
"35","Apple iPhone 6S Silver 16GB","200","Gəncə","Apple iPhone","6S","Silver","16GB","null"
"36","AirPods ","220","Gəncə","Aksesuarlar","Bəli","Bəli","null","null"
"37","Samsung Galaxy S10+ Ceramic Black 1TB/12GB","300","Gəncə","Samsung","Galaxy S10+","Ceramic Black","1TB/12GB","Dual SIM"
"38","Xiaomi Mi Note 10 Midnight Black 128GB/6GB","599","Gəncə","Xiaomi","Mi Note 10","Midnight Black","128GB/6GB","Bəli"
"39","Samsung Galaxy A12 Blue 64GB/4GB","320","Gəncə","Samsung","Galaxy A12","Blue","64GB/4GB","Dual SIM"
"40","Samsung Galaxy A3 (2017) Black Sky 16GB/2GB","140","Gəncə","Samsung","Galaxy A3 (2017)","Black Sky","16GB/2GB","Bəli"
"41","Apple iPhone 12 Pro Pacific Blue 256GB/6GB","1 950","Gəncə","Apple iPhone","12 Pro","Pacific Blue","256GB/6GB","null"
"42","Samsung Galaxy A3 (2016) Gold 16GB/1.5GB","100","Gəncə","Samsung","Galaxy A3 (2016)","Gold","16GB/1.5GB","Dual SIM"
"43","Telefon ""Nokia""","18","Gəncə","Nokia","Digər","null","null","null"
"44","Samsung Galaxy S20 FE 5G Cloud Red 128GB/6GB","570","Gəncə","Samsung","Galaxy S20 FE 5G","Cloud Red","128GB/6GB","Dual SIM"
"45","Apple iPhone 11 Black 128GB/4GB","170","Gəncə","Apple iPhone","11","Black","128GB/4GB","Bəli"
"46","Kgtel E1200","18","Gəncə","Kgtel","E1200","null","null","null"
"47","Blackberry Z10 Black 16GB/2GB","150","Gəncə","Blackberry","Z10","Black","16GB/2GB","null"
"48","Xiaomi Redmi Note 9 Forest Green 64GB/4GB","380","Gəncə","Xiaomi","Redmi Note 9","Forest Green","64GB/4GB","null"
"49","Xiaomi Redmi Note 8T Starscape Blue 32GB/3GB","250","Gəncə","Xiaomi","Redmi Note 8T","Starscape Blue","32GB/3GB","Bəli"
"50","Samsung Galaxy S Duos Black 4GB","35","Gəncə","Samsung","Galaxy S Duos","Black","4GB","null"
"51","Apple iPhone X Silver 64GB/3GB","560","Gəncə","Apple iPhone","X","Silver","64GB/3GB","Bəli"
"52","Samsung Galaxy J2 Prime Gold 8GB/1.5GB","120","Gəncə","Samsung","Galaxy J2 Prime","Gold","8GB/1.5GB","Dual SIM"
"53","Nokia 105 Black","23","Gəncə","Nokia","105","Black","null","null"
"54","Samsung Galaxy A52 Awesome Black 256GB/8GB","600","Gəncə","Samsung","Galaxy A52","Awesome Black","256GB/8GB","null"
"55","Apple iPhone 5S Space Gray 16GB","180","Gəncə","Apple iPhone","5S","Space Gray","16GB","Bəli"
"56","Huawei Y9 Prime (2019) Midnight Black 128GB/4GB","450","Gəncə","Huawei","Y9 Prime (2019)","Midnight Black","128GB/4GB","Dual SIM"
"57","Xiaomi Redmi Note 8 Space Black 64GB/4GB","385","Gəncə","Xiaomi","Redmi Note 8","Space Black","64GB/4GB","Bəli"
"58","Xiaomi Mi 8 Explorer Black 128GB/8GB","399","Gəncə","Xiaomi","Mi 8 Explorer","Black","128GB/8GB","Bəli"
"59","Samsung Galaxy J5 Pro Black 32GB/3GB","25","Gəncə","Samsung","Galaxy J5 Pro","Black","32GB/3GB","Dual SIM"
"60","Apple iPhone 6S Space Gray 128GB","200","Gəncə","Apple iPhone","6S","Space Gray","128GB","null"
"61","Xiaomi Redmi 9A Ocean Green 32GB/2GB","140","Gəncə","Xiaomi","Redmi 9A","Ocean Green","32GB/2GB","null"
"62","Xiaomi Mi 5s Rose Gold 64GB/3GB","180","Gəncə","Xiaomi","Mi 5s","Rose Gold","64GB/3GB","null"
"63","Samsung Galaxy A6 (2018) Black 32GB/3GB","165","Gəncə","Samsung","Galaxy A6 (2018)","Black","32GB/3GB","Dual SIM"
"64","Xiaomi Redmi Note 9 Forest Green 64GB/3GB","300","Gəncə","Xiaomi","Redmi Note 9","Forest Green","64GB/3GB","null"
"65","Apple iPhone 11 Pro Space Gray 256GB/4GB","2 100","Gəncə","Apple iPhone","11 Pro","Space Gray","256GB/4GB","Dual SIM"
"66","Apple iPhone X Silver 64GB/3GB","750","Gəncə","Apple iPhone","X","Silver","64GB/3GB","null"
"67","Qulaqlıq ","15","Gəncə","Aksesuarlar","null","null","null","null"
"68","Samsung Buds live ","220","Gəncə","Aksesuarlar","Bəli","null","null","null"
"69","Nokia 1 Plus Black 8GB","15","Gəncə","Nokia","1 Plus","Black","8GB","null"
"70","Apple iPhone SE (2020) White 64GB/3GB","680","Gəncə","Apple iPhone","SE (2020)","White","64GB/3GB","null"
"71","Samsung Galaxy Note 3 Black 32GB/3GB","80","Gəncə","Samsung","Galaxy Note 3","Black","32GB/3GB","null"
"72","Apple iPhone 11 Black 64GB/4GB","1 000","Gəncə","Apple iPhone","11","Black","64GB/4GB","null"
"73","Xiaomi Mi Note 10 Lite Glacier White 64GB/6GB","700","Gəncə","Xiaomi","Mi Note 10 Lite","Glacier White","64GB/6GB","Bəli"
"74","Samsung Galaxy A7 (2018) Black 128GB/4GB","250","Gəncə","Samsung","Galaxy A7 (2018)","Black","128GB/4GB","null"
"75","Apple iPhone 7 Red 128GB","320","Gəncə","Apple iPhone","7","Red","128GB","Bəli"
"76","Samsung Galaxy J3 (2016) Gold 8GB/1.5GB","100","Gəncə","Samsung","Galaxy J3 (2016)","Gold","8GB/1.5GB","Dual SIM"
"77","Samsung Galaxy A6+ (2018) Blue 32GB/3GB","160","Gəncə","Samsung","Galaxy A6+ (2018)","Blue","32GB/3GB","Dual SIM"
"78","Xiaomi Redmi Note 7 Blue 32GB/3GB","200","Gəncə","Xiaomi","Redmi Note 7","Blue","32GB/3GB","null"
"79","Apple iPhone 11 Pro Space Gray 64GB/4GB","1 300","Gəncə","Apple iPhone","11 Pro","Space Gray","64GB/4GB","Dual SIM"
"80","Micro kart ""Smartbuy""","18","Gəncə","Aksesuarlar","null","null","null","null"
"81","Apple iPhone 11 Pro Max Gold 512GB/4GB","250","Gəncə","Apple iPhone","12 Pro Max","Gold","512GB/6GB","Dual SIM"
"82","Samsung Galaxy A10 Black 32GB/4GB","139","Gəncə","Samsung","Galaxy A10","Black","32GB/4GB","null"
"83","Samsung Galaxy A21s Black 64GB/4GB","280","Gəncə","Samsung","Galaxy A21s","Black","64GB/4GB","Dual SIM"
"84","Samsung Galaxy A7 (2018) Black 64GB/4GB","230","Gəncə","Samsung","Galaxy A7 (2018)","Black","64GB/4GB","Dual SIM"
"85","Samsung Galaxy J4+ Gold 16GB/2GB","110","Gəncə","Samsung","Galaxy J4+","Gold","16GB/2GB","null"
"86","Samsung Galaxy 7582","10","Gəncə","Samsung","Digər","Bəli","null","null"
"87","Samsung Galaxy J3 (2017) Gold 16GB/2GB","120","Gəncə","Samsung","Galaxy J3 (2017)","Gold","16GB/2GB","Dual SIM"
"88","""Samsung Galaxy S4 Mini"" ekranı","50","Gəncə","Ehtiyat hissələri","Black Mist","8GB/1.5GB","Dual SIM","null"
"89","Bluetooth qulaqlıq","30","Gəncə","Aksesuarlar","null","null","null","null"
"90","Samsung Galaxy J3 (2016) Black 8GB/1.5GB","100","Gəncə","Samsung","Galaxy J3 (2016)","Black","8GB/1.5GB","Dual SIM"
"91","Telefon ""Nokia""","50","Gəncə","Nokia","Digər","null","null","null"
"92","Samsung Galaxy S3 Marble white 16GB/1GB","100","Gəncə","Samsung","Galaxy S3","Marble white","16GB/1GB","null"
"93","Samsung Galaxy S4 White Frost 32GB/2GB","50","Gəncə","Samsung","Galaxy S4","White Frost","32GB/2GB","null"
"94","Telefon ""Motorola""","25","Gəncə","Motorola","Digər","null","null","null"
"95","Telefon ""NOMI""","15","Gəncə","Digər","null","null","null","null"
"96","Samsung 2152","10","Gəncə","Samsung","Digər","Bəli","null","null"
"97","Samsung Galaxy Gio S5660","15","Gəncə","Samsung","Digər","null","null","null"
"98","Samsung Galaxy J2 (2018) Black 16GB/2GB","130","Gəncə","Samsung","Galaxy J2 (2018)","Black","16GB/2GB","null"
"99","""Apple iPhone 5S Space Gray 16GB"" platası","65","Gəncə","Ehtiyat hissələri","Space Gray","16GB","null","null"
"100","Samsung Galaxy A3 (2017) Black Sky 16GB/2GB","145","Gəncə","Samsung","Galaxy A3 (2017)","Black Sky","16GB/2GB","null"
"101","Nokia 6300 Black","100","Gəncə","Nokia","6300","Black","null","null"
"102","Stasionar telefon","150","Gəncə","Stasionar telefonlar","null","null","null","null"
"103","Xiaomi Poco M3 Pro 5G Power Black 64GB/4GB","380","Gəncə","Xiaomi","Poco M3 Pro 5G","Power Black","64GB/4GB","Bəli"
"104","Apple iPhone 8 Space Gray 64GB","380","Gəncə","Apple iPhone","8","Space Gray","64GB","Bəli"
"105","Samsung Galaxy J5 (2016) Gold 16GB/2GB","60","Gəncə","Samsung","Galaxy J5 (2016)","Gold","16GB/2GB","Dual SIM"
"106","Honor 7A Black 16GB/2GB","70","Gəncə","Honor","7A","Black","16GB/2GB","null"
"107","Xiaomi Redmi Note 8 Space Black 64GB/4GB","170","Gəncə","Xiaomi","Redmi Note 8","Space Black","64GB/4GB","null"
"108","Telefon ""İnoi""","150","Gəncə","Digər","Bəli","null","null","null"
"109","Samsung Galaxy J6+ Black 32GB/3GB","175","Gəncə","Samsung","Galaxy J6+","Black","32GB/3GB","Dual SIM"
"110","OnePlus 8T Lunar Silver 256GB/12GB","850","Gəncə","OnePlus","8T","Lunar Silver","256GB/12GB","null"
"111","Xiaomi Redmi Note 8 Space Black 64GB/4GB","200","Gəncə","Xiaomi","Redmi Note 8","Space Black","64GB/4GB","Bəli"
"112","Samsung Galaxy A01 Black 16GB/2GB","145","Gəncə","Samsung","Galaxy A01","Black","16GB/2GB","Dual SIM"
"113","Samsung Galaxy A52 Awesome Blue 128GB/4GB","550","Gəncə","Samsung","Galaxy A52","Awesome Blue","128GB/4GB","Dual SIM"
"114","Apple iPhone 11 Pro Silver 64GB/4GB","1 300","Gəncə","Apple iPhone","11 Pro","Silver","64GB/4GB","null"
"115","Xiaomi Redmi 4A Gold 16GB/2GB","110","Gəncə","Xiaomi","Redmi 4A","Gold","16GB/2GB","null"
"116","Samsung Galaxy A41 Prism Crush Black 64GB/4GB","350","Gəncə","Samsung","Galaxy A41","Prism Crush Black","64GB/4GB","Dual SIM"
"117","Samsung E1202 Blue","10","Gəncə","Samsung","E1202","Blue","Bəli","null"
"118","Samsung Galaxy J6+ Black 32GB/3GB","160","Gəncə","Samsung","Galaxy J6+","Black","32GB/3GB","Bəli"
"119","Xiaomi Redmi Note 8 Pro Mineral Gray 128GB/6GB","350","Gəncə","Xiaomi","Redmi Note 8 Pro","Mineral Gray","128GB/6GB","null"
"120","Xiaomi Redmi Note 9S Aurora Blue 128GB/6GB","430","Gəncə","Xiaomi","Redmi Note 9S","Aurora Blue","128GB/6GB","null"
"121","Xiaomi Redmi Note 9S Clacier White 128GB/6GB","430","Gəncə","Xiaomi","Redmi Note 9S","Glacier White","128GB/6GB","null"
"122","Samsung Galaxy A20s Black 32GB/3GB","220","Gəncə","Samsung","Galaxy A20s","Black","32GB/3GB","Dual SIM"
"123","""Apple iPhone 12/ 12 Pro"" arxalığı","80","Gəncə","Aksesuarlar","null","null","null","null"
"124","Qulaqlıq ""Apple AirPods Pro""","450","Gəncə","Aksesuarlar","Bəli","null","null","null"
"125","Vertu Ascent 2010 Black","30","Gəncə","Dublikat","Black","Bəli","null","null"
"126","Samsung Galaxy J3 (2017) Black 16GB/2GB","130","Gəncə","Samsung","Galaxy J3 (2017)","Black","16GB/2GB","Dual SIM"
"127","Xiaomi Redmi 8 Onyx Black 32GB/3GB","160","Gəncə","Xiaomi","Redmi 8","Onyx Black","32GB/3GB","null"
"128","Samsung Galaxy J5 (2017) Gold 16GB/2GB","140","Gəncə","Samsung","Galaxy J5 (2017)","Gold","16GB/2GB","Dual SIM"
"129","Xiaomi Mi A2 Lite Gold 32GB/3GB","140","Gəncə","Xiaomi","Mi A2 Lite","Gold","32GB/3GB","null"
"130","Samsung Galaxy A8 (2018) Gold 64GB/4GB","220","Gəncə","Samsung","Galaxy A8 (2018)","Gold","64GB/4GB","Dual SIM"
"131","Samsung Galaxy A8 Champagne Gold 32GB/2GB","230","Gəncə","Samsung","Galaxy A8","Champagne Gold","32GB/2GB","null"
"132","Apple iPhone 8 Space Gray 64GB","360","Gəncə","Apple iPhone","8","Space Gray","64GB","null"
"133","Apple iPhone 11 Pro Max Midnight Green 64GB/4GB","1 300","Gəncə","Apple iPhone","11 Pro Max","Midnight Green","64GB/4GB","Dual SIM"
"134","Samsung Galaxy A7 (2018) Blue 64GB/4GB","300","Gəncə","Samsung","Galaxy A7 (2018)","Blue","64GB/4GB","Bəli"
"135","Samsung Galaxy S4 mini Blue 8GB/1.5GB","35","Gəncə","Samsung","Galaxy S4 mini","Blue","8GB/1.5GB","null"
"136","Samsung Galaxy J3 Pro Black 16GB/2GB","95","Gəncə","Samsung","Galaxy J3 Pro","Black","16GB/2GB","null"
"137","Huawei P30 Pro Black 128GB/6GB","950","Gəncə","Huawei","P30 Pro","Black","128GB/6GB","Dual SIM"
"138","Apple AirPods","25","Gəncə","Aksesuarlar","null","null","null","null"
"139","Apple iPhone 8 Plus Space Gray 64GB","650","Gəncə","Apple iPhone","8 Plus","Space Gray","64GB","null"
"140","Apple iPhone 6 Gold 16GB","90","Gəncə","Apple iPhone","6","Gold","16GB","null"
"141","Samsung Galaxy J2 Gold 16GB/2GB","120","Gəncə","Samsung","Galaxy J2 (2018)","Gold","16GB/2GB","null"
"142","Hope F1","35","Gəncə","Hope","F1","Bəli","null","null"
"143","Apple iPhone X Silver 64GB/3GB","580","Gəncə","Apple iPhone","X","Silver","64GB/3GB","Bəli"
"144","Xiaomi Redmi Note 9S Aurora Blue 64GB/4GB","340","Gəncə","Xiaomi","Redmi Note 9S","Aurora Blue","64GB/4GB","null"
"145","Samsung Galaxy A01 Black 16GB/2GB","150","Gəncə","Samsung","Galaxy A01","Black","16GB/2GB","Dual SIM"
"146","Telefon","12","Gəncə","Stasionar telefonlar","null","null","null","null"
"147","Apple iPhone 8 Plus Gold 64GB","450","Gəncə","Apple iPhone","8 Plus","Gold","64GB","null"
"148","Apple iPhone 5 White/Silver 16GB","100","Gəncə","Apple iPhone","5","White/Silver","16GB","null"
"149","Qulaqlıq başlığı","2","Gəncə","Aksesuarlar","null","null","null","null"
"150","""Tws 5.1"" qulaqcığı","50","Gəncə","Aksesuarlar","Bəli","Bəli","null","null"
"151","Xiaomi Redmi Note 9T Nightfall Black 128GB/4GB","365","Gəncə","Xiaomi","Redmi Note 9T","Nightfall Black","128GB/4GB","Bəli"
"152","Apple iPhone 7 Jet Black 32GB","265","Gəncə","Apple iPhone","7","Jet Black","32GB","Bəli"
